LONGITUD_DECIMAL,LATITUD_DECIMAL
-102.2960467,21.87982278
-102.3735306,21.87187472
-102.3571219,21.88375611
-102.3572947,21.78018056
-102.1919206,21.9450675
-102.273955,21.80177333
-102.1248169,21.74749389
-102.2931953,21.71914722
-102.4129922,21.7746825
-102.2364614,21.78406278
-102.1969858,22.00775417
-102.4668631,21.78254972
-102.3707239,21.8944125
-102.3107661,21.69855361
-102.4987136,21.7310075
-102.4535367,21.73227639
-102.2339694,21.82512222
-102.168225,21.90443333
-102.2081114,21.91665806
-102.2665164,21.75660806
-102.3413144,21.8692925
-102.3511614,21.75635611
-102.1607975,21.73089
-102.3827389,21.86529778
-102.1665861,21.76634667
-102.2454333,21.84038472
-102.1664514,21.78236639
-102.1365128,21.76609
-102.35464,21.88817778
-102.3294033,21.83296722
-102.242425,21.85665917
-102.1060572,21.77020917
-102.3747933,21.8221325
-102.3588117,21.90730972
-102.4514761,21.68586694
-102.2126006,21.90765167
-102.3466258,21.89221139
-102.1169028,21.7456925
-102.1450161,22.01609667
-102.2006561,22.00060361
-102.3502708,21.87021194
-102.2360822,21.83918194
-102.3420042,21.89903194
-102.0722756,21.78639444
-102.332555,21.64648806
-102.2658256,21.80232722
-102.3500472,21.83978083
-102.2938311,21.776055
-102.3438761,21.87254972
-102.3780942,21.78000278
-102.2172828,21.88937472
-102.5184261,21.78075472
-102.2375256,21.87807167
-102.3601569,21.89269556
-102.2712222,21.72179944
-102.1049303,21.78439972
-102.3786861,21.88616833
-102.2895406,21.71596889
-102.3347278,21.88853194
-102.3720339,21.7580875
-102.2071547,21.86045278
-102.3076369,21.81262972
-102.3677953,21.89996444
-102.3606889,21.78013194
-102.1861389,21.95160056
-102.3013053,21.67443083
-102.3661658,21.88383417
-102.3387944,21.89129917
-102.3320183,21.88654333
-102.3484769,21.79251111
-102.1541894,21.95103861
-102.3499242,21.85363333
-102.3551103,21.85358028
-102.3822356,21.90417528
-102.3437517,21.80784833
-102.3359942,21.82884667
-102.4113392,21.71663694
-102.3766894,21.87722333
-102.379155,21.85496639
-102.2937581,21.81157194
-102.1137206,22.04728417
-102.1045656,21.77978028
-102.3731417,21.70771611
-102.3366908,21.86335944
-102.1800108,21.89128
-102.3331589,21.63366667
-102.3460639,21.88061889
-102.1879736,21.82413611
-102.3107811,21.82949806
-102.2270908,21.79677
-102.1670156,21.81578972
-102.2122947,21.84222472
-102.2223275,21.85896472
-102.3222697,21.844345
-102.2039117,21.77729444
-102.3324731,21.84509333
-102.2497142,21.93915806
-102.3692578,21.83367389
-102.3382356,21.79119333
-102.1592069,21.75612111
-102.18597,21.86790611
-102.3131144,21.81917278
-102.3463339,21.81997
-102.2552578,21.81176778
-102.3426556,21.67840556
-102.3615861,21.76758333
-102.1522072,21.74607861
-102.3275053,21.90464417
-102.3019639,21.78706056
-102.3218128,21.90115472
-102.3622814,21.90449167
-102.2805006,21.76158833
-102.2089133,21.79964
-102.3318686,21.83185722
-102.1976867,21.84871806
-102.3732814,21.84834083
-102.1650106,21.76437972
-102.2206239,21.79229194
-102.2236353,21.83588083
-102.3724631,21.82785611
-102.1471658,21.76060778
-102.2692914,21.81699889
-102.1599958,21.76821861
-102.1068131,21.76042222
-102.3120208,21.77204222
-102.2280722,21.86063417
-102.3503625,21.88295861
-102.335475,21.90105139
-102.1562867,21.76307917
-102.3951414,21.88700944
-102.2807581,21.77643361
-102.1725564,21.74873444
-102.2756022,21.93498194
-102.2270867,21.82825611
-102.4042556,21.68702861
-102.2235772,21.79439583
-102.1733575,21.95536528
-102.2133883,21.96133667
-102.2312039,21.86000611
-102.3252247,21.87489917
-102.1709464,21.88079167
-102.1633144,21.7732325
-102.2372222,21.79111111
-102.2072558,21.76413417
-102.1713194,21.72920917
-102.2625831,21.77362361
-102.1527831,21.71156833
-102.2817633,21.78929111
-102.3274475,21.83669528
-102.3217028,21.90443833
-102.2698967,21.78556556
-102.3922453,21.87827361
-102.3839733,21.88655972
-102.2368694,21.94379111
-102.1207931,21.78782639
-102.1011608,21.77929611
-102.3281442,21.83326139
-102.3498592,21.81693694
-102.4478331,21.71642889
-102.2693994,21.75272056
-102.1197586,22.00468083
-102.3021314,21.75648222
-102.4670022,21.80375306
-102.0981442,21.99198917
-102.2817606,21.76671639
-102.3735642,21.82803056
-102.2204242,21.85888278
-102.286275,21.94018167
-102.2307044,21.83588194
-102.1834811,21.98754972
-102.1795275,21.990665
-102.0956119,21.78992639
-102.3511136,21.78979944
-102.2333064,21.79333694
-102.1673308,21.74241028
-102.1445436,22.01035722
-102.2232972,21.99900694
-102.1477844,21.78209028
-102.1772906,21.82349917
-102.2668264,21.82221722
-102.3630528,21.79621833
-102.3557675,21.83909194
-102.3132675,21.79350028
-102.1470061,21.76858111
-102.2620575,21.75811667
-102.2300308,21.85733167
-102.1550669,21.77344306
-102.1811839,21.86567861
-102.4538189,21.67892389
-102.3719392,21.90159444
-102.3494486,21.67771556
-102.1428542,21.73152972
-102.3363514,21.63761583
-102.3664331,21.85385778
-102.3746203,21.86975222
-102.2288794,21.84534639
-102.3755261,21.90700306
-102.3264789,21.89302944
-102.3589325,21.78355139
-102.3276903,21.82674778
-102.1890644,21.85239278
-102.150385,21.77868944
-102.2609744,21.7782425
-102.2681956,21.79690639
-102.4381856,21.80260222
-102.3759675,21.87493778
-102.3684964,21.89417722
-102.2777228,21.76060417
-102.180875,21.82337694
-102.3696364,21.84736667
-102.300985,21.79825611
-102.2352683,21.79541222
-102.3765164,21.85047083
-102.3682325,21.89657556
-102.0924972,21.79309778
-102.225,21.79027778
-102.2439467,21.84639139
-102.2279844,21.80153833
-102.1807972,22.00118611
-102.3347719,21.92249028
-102.1684339,21.77696056
-102.1508042,21.72104472
-102.3737358,21.84500611
-102.3457978,21.70869583
-102.2068456,21.94789389
-102.1649772,21.81953139
-102.3529936,21.87467806
-102.2080367,21.94497028
-102.2192972,21.97221889
-102.2904561,21.75617333
-102.3458906,21.90995861
-102.3066825,21.83237583
-102.3345839,21.71423639
-102.2828769,21.76577472
-102.3407164,21.67467556
-102.334375,21.71724944
-102.1765164,21.955515
-102.3584044,21.8061075
-102.4167364,21.79494778
-102.1667969,21.79484722
-102.2169967,21.85157806
-102.1970411,21.99764972
-102.2289936,21.80586583
-102.2205089,21.84598944
-102.2052011,21.79546583
-102.231425,21.93135278
-102.1584269,22.01582972
-102.1479158,22.01120694
-102.2327094,21.94604028
-102.1254144,21.77086806
-102.3239225,21.64210528
-102.2682094,21.79291861
-102.2963956,21.7639675
-102.3755003,21.84528528
-102.3673861,21.8895725
-102.352425,21.9003875
-102.3704028,21.84139
-102.2124986,21.79293472
-102.1242756,21.78638139
-102.3133011,21.6525075
-102.3317097,21.65281889
-102.33478,21.66348278
-102.3192981,21.81114111
-102.1912008,21.99930333
-102.1642378,21.74195444
-102.3416144,21.91870444
-102.2163336,21.79596556
-102.1559811,22.01112167
-102.3495406,21.66792972
-102.3824089,21.83314528
-102.3760803,21.83357389
-102.2931844,21.94359861
-102.2965889,21.81530139
-102.2602122,21.81735667
-102.3578569,21.77515194
-102.2792539,21.74617972
-102.1548456,21.747535
-102.2188003,21.81692444
-102.3359431,21.80947444
-102.1872558,21.77980194
-102.2818089,21.71126167
-102.3561903,21.78010222
-102.2427708,21.80573028
-102.2742203,21.84816389
-102.21163,21.80993889
-102.184745,21.78732056
-102.2599936,21.79160194
-102.1372397,21.78449306
-102.3350922,21.84310028
-102.3206992,21.812875
-102.1274422,21.78049444
-102.3878719,21.86514444
-102.3896167,21.85806972
-102.2870894,21.76045472
-102.3317289,21.90677
-102.2187133,21.90083361
-102.1789464,21.95841944
-102.1934931,21.87773056
-102.1316078,22.05722333
-102.3764653,21.87372806
-102.3724572,21.83700806
-102.2427578,21.84647972
-102.1810683,21.79057389
-102.2021147,21.78692333
-102.14617,21.77701417
-102.4331825,21.79291722
-102.3466586,21.84928111
-102.3462853,21.90295694
-102.2269469,21.95130722
-102.1661903,21.77188833
-102.2440528,21.84584833
-102.3371992,21.82158194
-102.2258158,21.83312028
-102.1985056,21.83696861
-102.1523475,21.77085083
-102.1495369,21.77004222
-102.3603769,21.84726944
-102.1853878,21.73435361
-102.2381311,21.92214889
-102.2176261,21.83856889
-102.128415,21.75515194
-102.3700178,21.87972083
-102.2403081,21.79606083
-102.15226,21.78693944
-102.2180664,21.85268417
-102.3455544,21.89756556
-102.3912478,21.88931472
-102.3397161,21.90235056
-102.3317408,21.69348611
-102.3266533,21.89879444
-102.3401892,21.87579333
-102.1977706,21.93909694
-102.3707311,21.90448667
-102.3398967,21.87353
-102.2348714,21.94749389
-102.3565675,21.88010194
-102.3547542,21.90076278
-102.2619469,21.7878225
-102.3933006,21.89206694
-102.3380022,21.90429833
-102.3659433,21.89557472
-102.3811514,21.88078361
-102.1341856,21.99286556
-102.3265325,21.70168417
-102.3370061,21.90026528
-102.3888311,21.88769194
-102.3532353,21.67546472
-102.3557406,21.84430583
-102.2337492,21.79244
-102.1244269,21.78840806
-102.3429806,21.8421275
-102.3755717,21.74292472
-102.3073831,21.82063028
-102.2812533,21.76012694
-102.4024314,21.67118222
-102.3526597,21.70881167
-102.3122036,21.64344833
-102.3575361,21.90185194
-102.3447486,21.90200889
-102.3681764,21.89128278
-102.243575,21.79765694
-102.2336058,21.85291472
-102.17117,21.82612111
-102.3364706,21.89802556
-102.2511989,21.78770667
-102.1978797,21.80119833
-102.3833183,21.84096778
-102.2086581,21.82222333
-102.2500389,21.74951667
