NOM_ENT,LONGITUD_DECIMAL,LATITUD_DECIMAL
CDMX,-99.0926225,19.35900389
BC,-117.0189133,32.53246083
MEX,-99.04915861,19.59906944
GTO,-101.6831997,21.12197194
PUE,-98.19749472,19.04398972
CHIH,-106.4850186,31.74646528
JAL,-103.3422222,20.67638889
JAL,-103.3889878,20.72096194
CDMX,-99.11347083,19.48294528
NL,-100.3108917,25.66469722
MEX,-99.0182,19.40876333
CHIH,-106.0763067,28.63679389
YUC,-89.62439167,20.96753722
QROO,-86.82481111,21.16141611
COAH,-100.9997211,25.42166472
AGS,-102.2960467,21.87982278
SON,-110.9584636,29.07489167
BC,-115.4755789,32.64117583
SLP,-100.9769581,22.151655
SIN,-107.3937561,24.80880806
QRO,-100.3899572,20.59339111
MEX,-99.23321806,19.47880278
CDMX,-99.19541333,19.39080611
MICH,-101.1920464,19.70338389
MEX,-98.94529917,19.4169075
TAM,-98.27812917,26.09235
COAH,-103.4530606,25.54175333
MEX,-99.19519833,19.53852333
GRO,-99.88655778,16.86186694
JAL,-103.3072222,20.63861111
NL,-100.2598972,25.677325
DGO,-104.6701944,24.02398806
CDMX,-99.16214556,19.35021389
CDMX,-99.16712611,19.288275
CHIS,-93.11519167,16.75397222
CDMX,-99.15188361,19.44164667
NL,-100.1892278,25.78129444
MEX,-99.23504083,19.54317056
MEX,-99.20928611,19.65699556
TAM,-97.5048225,25.87991528
NL,-100.3226417,25.80798611
GTO,-101.3481169,20.67280139
CDMX,-99.11370111,19.41926194
VER,-96.92264472,19.52708472
JAL,-103.2455556,20.62333333
SIN,-106.4222214,23.20031583
CDMX,-99.15785333,19.37199222
CDMX,-99.18436056,19.48410278
CDMX,-99.10491333,19.26346194
TAM,-99.50849278,27.48629139
CDMX,-99.19075444,19.40726889
NL,-100.2895861,25.75525278
VER,-96.1530275,19.19032333
CDMX,-99.09761278,19.39590139
MEX,-98.99761889,19.67830278
MEX,-98.94344861,19.278765
GTO,-100.8135731,20.52152389
NAY,-104.8937992,21.50741306
MEX,-98.88424722,19.31310444
MOR,-99.23489694,18.92178278
TAB,-92.91941611,17.9878375
TAM,-99.15125028,23.73105306
BC,-116.5951339,31.80894389
SON,-109.9327161,27.49648889
CDMX,-99.00484611,19.27056639
MEX,-99.31589806,19.625715
SLP,-100.9372742,22.18788139
NL,-100.0908806,25.646225
QROO,-87.0755,20.6281425
NL,-100.4617472,25.67436389
DGO,-103.4964169,25.57010722
MICH,-102.0627992,19.4208875
SIN,-108.9943428,25.78341694
HGO,-98.73700056,20.12235972
TAM,-97.85838667,22.21606028
PUE,-97.39199889,18.46218444
MEX,-99.10437722,19.62929889
SON,-110.9457447,31.32590306
OAX,-96.72545028,17.05999306
BCS,-110.30659,24.148745
CAMP,-90.53964917,19.84481417
CDMX,-99.24151556,19.30489806
COAH,-101.4172244,26.90124222
NL,-100.5854694,25.80049167
GRO,-99.50106278,17.55164944
JAL,-105.2272222,20.61361111
MEX,-99.65731667,19.29348806
CHIS,-92.26432,14.91107139
MEX,-99.16695,19.60828028
VER,-94.45300139,18.13788278
TAM,-97.837,22.24627861
BCS,-109.9251861,22.89701889
MEX,-98.90201222,19.41676528
CAMP,-91.83645,18.63778944
CDMX,-99.29979222,19.35735028
CHIS,-92.63756389,16.73702222
VER,-97.44356694,20.5340875
QRO,-99.99963167,20.38644139
SON,-114.7796244,32.47983111
MEX,-98.89565472,19.26113167
MOR,-99.17719833,18.88197444
COAH,-100.5284414,28.70809306
ZAC,-102.5188017,22.74678194
QROO,-88.29789889,18.49388944
TAM,-97.86633056,22.33646944
GTO,-101.1999153,20.56868056
COAH,-100.9782583,29.33000556
COL,-104.3163806,19.05320583
MEX,-99.09071583,19.6656125
MOR,-98.95526472,18.81278833
MICH,-102.2859578,19.98357944
COL,-103.7367586,19.26477639
COL,-103.7281189,19.24292222
ZAC,-102.8682294,23.17489472
YUC,-89.55805944,20.93463972
JAL,-103.3805556,20.51805556
VER,-96.93534917,18.89438389
ZAC,-102.5718364,22.77609611
SLP,-99.01872111,21.98653667
BCS,-109.6947492,23.06159139
CHIH,-106.8660444,28.40631167
MEX,-99.27961167,19.40593306
GRO,-99.53836833,18.34454917
NL,-100.4024667,25.66516944
VER,-96.11595861,19.14284917
CHIH,-105.4710467,28.19294806
SON,-109.4455461,27.0815975
MEX,-98.93731556,19.61259028
VER,-97.09891444,18.85096083
MEX,-99.17863028,19.66506139
SON,-110.8894447,27.92324861
QRO,-100.4458831,20.55243583
COAH,-100.9507819,25.54323361
CHIH,-105.6671433,26.92208778
CHIS,-92.135835,16.25246056
JAL,-103.4641667,19.70861111
JAL,-101.9291667,21.35638889
TAM,-98.09013833,25.98099639
HGO,-98.36807278,20.080605
MOR,-99.22414306,18.84527333
OAX,-96.11848167,18.08116472
MICH,-102.3552644,19.08722722
PUE,-98.30750583,19.06248417
VER,-94.54844417,17.9909775
BC,-117.0544589,32.36368417
PUE,-98.27570806,19.02945694
JAL,-102.7572222,20.8175
DGO,-103.5248494,25.53655167
PUE,-98.04491694,19.04461278
JAL,-102.7680556,20.35138889
JAL,-103.4861111,20.79833333
SON,-109.5463514,31.32781528
VER,-97.40392722,20.96429667
PUE,-98.4341675,18.90884833
MEX,-99.52972222,19.26416667
COL,-103.8737889,18.91060417
OAX,-95.02163306,16.4333075
MICH,-102.0225539,20.34145028
MICH,-100.3574861,19.43718028
SLP,-100.6441978,23.64635944
QROO,-86.95758833,20.50378417
MEX,-98.97660167,19.35838694
MICH,-102.1979808,17.96233417
GTO,-101.4262161,20.94445028
MEX,-99.13739889,19.63133278
OAX,-96.73435806,17.02728139
BC,-116.6265503,32.57267889
TAB,-93.37685556,17.98943
TAM,-97.93668694,22.39155306
GTO,-101.8585181,21.01868139
TAM,-98.97171806,22.74399917
PUE,-98.43551556,19.28290806
SIN,-108.4718175,25.56554722
OAX,-95.19215861,16.175885
NL,-100.0015944,25.59100833
NL,-100.1812078,25.63489167
COAH,-101.4494444,26.92611111
GTO,-101.1814297,20.39132222
