state,latitude,longitude,cluster
Mexico City,19.4325,-99.13111,0
Baja California,32.53472,-117.04361,1
State of Mexico,19.60972,-99.06,3
Guanajuato,21.11972,-101.68056,5
Puebla,19.04528,-98.1975,0
Chihuahua,31.73944,-106.48694,6
Jalisco,20.67639,-103.34222,5
Nuevo León,25.67139,-100.30861,2
State of Mexico,19.39972,-98.98944,3
Jalisco,20.72056,-103.38833,5
Chihuahua,28.63528,-106.08889,6
Yucatán,20.96778,-89.62167,4
State of Mexico,19.47528,-99.23778,3
Quintana Roo,21.16056,-86.8475,4
Coahuila,25.43333,-101,6
Aguascalientes,21.88083,-102.29611,5
Sonora,29.09889,-110.95417,1
Baja California,32.66333,-115.46778,1
San Luis Potosí,22.14972,-100.975,5
Sinaloa,24.79194,-107.39806,7
Querétaro,20.58806,-100.38806,5
Michoacán,19.70222,-101.18556,5
State of Mexico,19.4375,-98.95417,3
Tamaulipas,26.09222,-98.27778,8
Coahuila,25.54444,-103.44167,6
State of Mexico,19.53667,-99.19472,3
Guerrero,16.86167,-99.88639,0
Jalisco,20.63861,-103.30722,5
Nuevo León,25.67917,-100.235,2
Durango,24.02278,-104.65444,7
Chiapas,16.75306,-93.11556,4
State of Mexico,19.64611,-99.21139,3
Veracruz,19.19028,-96.15333,0
Nuevo León,25.78167,-100.18889,2
State of Mexico,19.56111,-99.24694,3
Tamaulipas,25.87972,-97.50417,8
Nuevo León,25.80861,-100.32694,2
Guanajuato,20.67417,-101.3475,5
Veracruz,19.53806,-96.90917,0
Jalisco,20.62333,-103.24556,5
Sinaloa,23.24139,-106.40972,7
Tamaulipas,27.48639,-99.50806,8
Nuevo León,25.74167,-100.30222,2
State of Mexico,19.68028,-99.01,3
State of Mexico,19.29167,-98.93889,3
Guanajuato,20.52889,-100.815,5
Nayarit,21.51639,-104.89417,5
State of Mexico,19.31861,-98.88222,3
Morelos,18.91861,-99.23417,0
Tabasco,17.98917,-92.92806,4
Tamaulipas,23.73611,-99.14611,8
Baja California,31.85778,-116.60583,1
Sonora,27.48917,-109.935,1
State of Mexico,19.625,-99.31417,3
San Luis Potosí,22.18306,-100.94083,5
Nuevo León,25.6475,-100.09472,2
Quintana Roo,20.6275,-87.08111,4
Nuevo León,25.67556,-100.46222,2
Durango,25.56111,-103.49833,7
Michoacán,19.41944,-102.05833,5
Sinaloa,25.79361,-108.99694,7
Hidalgo,20.12167,-98.73583,0
Tamaulipas,22.25528,-97.86861,8
Puebla,18.46389,-97.39306,0
State of Mexico,19.63333,-99.09306,3
Sonora,31.31861,-110.94583,1
Oaxaca,17.06778,-96.72,0
Baja California Sur,24.14222,-110.31083,7
Campeche,19.84583,-90.53667,4
Coahuila,26.90083,-101.41667,6
Nuevo León,25.81667,-100.58333,2
Guerrero,17.55,-99.50111,0
Jalisco,20.61361,-105.22722,5
State of Mexico,19.29222,-99.65389,3
Chiapas,14.90806,-92.26056,4
State of Mexico,19.60833,-99.16944,3
Veracruz,18.13583,-94.46333,0
Tamaulipas,22.27639,-97.83139,8
Baja California Sur,22.88972,-109.91556,7
State of Mexico,19.41528,-98.90111,3
Campeche,18.63833,-91.83528,4
Chiapas,16.73667,-92.63833,4
Veracruz,20.53417,-97.44361,0
Querétaro,20.38889,-99.99639,5
Sonora,32.47667,-114.7625,1
State of Mexico,19.26472,-98.8975,3
Morelos,18.88139,-99.17778,0
Coahuila,28.7,-100.52306,6
Zacatecas,22.75278,-102.50778,5
Quintana Roo,18.50361,-88.30528,4
Tamaulipas,22.33306,-97.86639,8
Guanajuato,20.57028,-101.19722,5
Coahuila,29.32417,-100.93167,6
Colima,19.05222,-104.31583,5
State of Mexico,19.66556,-99.09167,3
Morelos,18.81222,-98.95583,0
Michoacán,19.98556,-102.28306,5
Veracruz,17.98333,-94.55,0
Colima,19.26389,-103.73694,5
Colima,19.24167,-103.72806,5
