state,latitude,longitude
Mexico City,19.4325,-99.13111
Baja California,32.53472,-117.04361
State of Mexico,19.60972,-99.06
Guanajuato,21.11972,-101.68056
Puebla,19.04528,-98.1975
Chihuahua,31.73944,-106.48694
Jalisco,20.67639,-103.34222
Nuevo León,25.67139,-100.30861
State of Mexico,19.39972,-98.98944
Jalisco,20.72056,-103.38833
Chihuahua,28.63528,-106.08889
Yucatán,20.96778,-89.62167
State of Mexico,19.47528,-99.23778
Quintana Roo,21.16056,-86.8475
Coahuila,25.43333,-101
Aguascalientes,21.88083,-102.29611
Sonora,29.09889,-110.95417
Baja California,32.66333,-115.46778
San Luis Potosí,22.14972,-100.975
Sinaloa,24.79194,-107.39806
Querétaro,20.58806,-100.38806
Michoacán,19.70222,-101.18556
State of Mexico,19.4375,-98.95417
Tamaulipas,26.09222,-98.27778
Coahuila,25.54444,-103.44167
State of Mexico,19.53667,-99.19472
Guerrero,16.86167,-99.88639
Jalisco,20.63861,-103.30722
Nuevo León,25.67917,-100.235
Durango,24.02278,-104.65444
Chiapas,16.75306,-93.11556
State of Mexico,19.64611,-99.21139
Veracruz,19.19028,-96.15333
Nuevo León,25.78167,-100.18889
State of Mexico,19.56111,-99.24694
Tamaulipas,25.87972,-97.50417
Nuevo León,25.80861,-100.32694
Guanajuato,20.67417,-101.3475
Veracruz,19.53806,-96.90917
Jalisco,20.62333,-103.24556
Sinaloa,23.24139,-106.40972
Tamaulipas,27.48639,-99.50806
Nuevo León,25.74167,-100.30222
State of Mexico,19.68028,-99.01
State of Mexico,19.29167,-98.93889
Guanajuato,20.52889,-100.815
Nayarit,21.51639,-104.89417
State of Mexico,19.31861,-98.88222
Morelos,18.91861,-99.23417
Tabasco,17.98917,-92.92806
Tamaulipas,23.73611,-99.14611
Baja California,31.85778,-116.60583
Sonora,27.48917,-109.935
State of Mexico,19.625,-99.31417
San Luis Potosí,22.18306,-100.94083
Nuevo León,25.6475,-100.09472
Quintana Roo,20.6275,-87.08111
Nuevo León,25.67556,-100.46222
Durango,25.56111,-103.49833
Michoacán,19.41944,-102.05833
Sinaloa,25.79361,-108.99694
Hidalgo,20.12167,-98.73583
Tamaulipas,22.25528,-97.86861
Puebla,18.46389,-97.39306
State of Mexico,19.63333,-99.09306
Sonora,31.31861,-110.94583
Oaxaca,17.06778,-96.72
Baja California Sur,24.14222,-110.31083
Campeche,19.84583,-90.53667
Coahuila,26.90083,-101.41667
Nuevo León,25.81667,-100.58333
Guerrero,17.55,-99.50111
Jalisco,20.61361,-105.22722
State of Mexico,19.29222,-99.65389
Chiapas,14.90806,-92.26056
State of Mexico,19.60833,-99.16944
Veracruz,18.13583,-94.46333
Tamaulipas,22.27639,-97.83139
Baja California Sur,22.88972,-109.91556
State of Mexico,19.41528,-98.90111
Campeche,18.63833,-91.83528
Chiapas,16.73667,-92.63833
Veracruz,20.53417,-97.44361
Querétaro,20.38889,-99.99639
Sonora,32.47667,-114.7625
State of Mexico,19.26472,-98.8975
Morelos,18.88139,-99.17778
Coahuila,28.7,-100.52306
Zacatecas,22.75278,-102.50778
Quintana Roo,18.50361,-88.30528
Tamaulipas,22.33306,-97.86639
Guanajuato,20.57028,-101.19722
Coahuila,29.32417,-100.93167
Colima,19.05222,-104.31583
State of Mexico,19.66556,-99.09167
Morelos,18.81222,-98.95583
Michoacán,19.98556,-102.28306
Veracruz,17.98333,-94.55
Colima,19.26389,-103.73694
Colima,19.24167,-103.72806
