edad,ingreso,gasto,sensor_z,completo
56,18604.19286,5026.523564,,0.229764969
69,15071.50391,3403.302584,,0.413594962
,,11162.75087,,0.792438152
,23917.94571,,,0.686022237
60,11815.01142,,,0.066305296
25,9092.14482,2138.977462,,0.364892058
38,24491.61691,25952.08143,,0.194387687
56,24754.1493,7245.854493,,0.461729119
36,6080.98736,,,0.040230096
,18379.22945,2700.042027,,0.197017704
28,4806.807826,6588.848854,,0.551386106
28,22805.1221,8501.623741,,0.751366822
41,8375.939919,,,0.755797127
53,19773.62175,,,0.512428595
57,,14475.41669,,0.069901829
41,15779.17356,2962.787246,,0.105086009
20,6698.517337,11048.74747,,0.586094548
39,11609.70719,8405.184282,,0.528177041
19,12966.07186,6615.577691,0.835565398,0.999303256
41,21602.98726,2585.082781,,0.769054239
61,32765.79522,16121.50324,-1.632218079,0.409726415
47,17860.46287,8417.469846,,0.535117968
55,15503.56419,2275.714533,,0.229677906
19,7989.968647,5733.717191,,0.225451008
38,6572.843172,8073.432663,,0.16851857
50,14693.61747,8990.692738,,0.440738736
29,14298.02814,,,0.172827144
39,,,,0.531078644
61,19005.63239,23655.04587,,0.183918649
42,16001.88311,16779.64885,,0.974007648
66,6415.781269,3752.916586,,0.556483976
44,20875.15001,,,0.683715491
59,12674.80486,6206.035716,,0.013589897
45,8286.034428,2322.869002,,0.032584667
33,10857.5686,2966.558783,,0.266357914
32,6638.421971,2507.353836,-1.058385403,0.051604732
64,11248.15877,3332.133326,,0.416551175
68,19445.92747,15271.77598,,0.266508307
,11341.08678,3971.327452,,0.899877225
69,8683.682535,3582.309362,,0.479547925
20,11741.76709,,,0.488734529
54,,5066.560015,,0.36780647
68,6804.265769,8528.62713,,0.457317951
24,8026.177027,4285.928314,,0.568567652
,,2250.408915,,0.485771456
26,7152.935698,8783.500053,,0.00246982
56,35332.47555,2615.314491,,0.197548464
35,12373.74009,4883.922995,,0.612666698
21,8488.829378,4273.674689,,0.3625798
42,8877.923091,,,0.964619398
31,10492.73782,4752.533206,,0.37994144
67,10047.56731,6144.785426,,0.445221287
26,4694.750108,2601.037692,,0.324815756
43,25131.32275,22031.06658,,0.50229485
19,13256.69955,3228.978,,0.825713632
,13178.10181,13640.90484,,0.698591455
45,20109.28155,7258.294986,1.00860295,0.123340312
64,7884.844398,7219.52486,,0.133718044
24,9143.846695,8206.253389,,0.793832264
61,16792.839,2146.969189,,0.901679932
25,12936.5378,11847.06221,,0.573573059
64,15874.21173,4882.600858,,0.378376112
52,12835.32395,,,0.671638628
31,,6058.74778,,0.243724202
,27357.82146,5299.072396,,0.657637727
,22763.11756,3057.247658,,0.949505386
67,3830.001329,,,0.965915881
57,28005.72635,8547.449873,,0.138379004
21,39315.11233,3026.770293,,0.748759357
19,,2009.498104,,0.672331362
23,12002.11014,3965.830891,,0.808426914
59,9465.443267,,,0.836761923
21,19224.03421,19317.65351,,0.784005585
,9803.211547,,,0.449594808
,,2619.405839,,0.436828761
43,13214.3622,,,0.012149758
,24563.70483,7407.981719,,0.352868831
51,10995.82559,9383.783145,,0.797404776
,10706.41986,23879.71777,,0.216783608
53,,7601.563989,,0.650104784
31,35133.83483,17912.91026,,0.246952125
48,13911.69877,5025.32168,,0.914408763
65,,6987.928845,,0.834317787
32,20511.71829,4648.362846,,0.748876429
25,19130.97714,4411.620669,,0.053943627
31,8302.102913,,0.170594204,0.376726676
,10218.14101,5606.080408,-0.512914375,0.089012375
57,23115.63317,4617.526487,,0.258017219
38,16547.76656,4771.653911,,0.185352884
33,,,,0.244276276
62,17000.35609,23573.23634,,0.943269354
35,21231.22341,4919.469736,,0.315897146
64,8788.587679,,0.280964321,0.845542705
41,18743.32621,9088.502211,,0.940354013
43,34069.55873,44901.20913,,0.491539398
42,16288.04969,6977.863867,,0.634203355
62,9771.173519,,,0.472260276
58,10288.36846,16758.90275,,0.744350553
46,,8155.443349,,0.650887491
32,16137.23794,11565.011,,0.959918832
,13786.04737,,,0.919857891
18,17167.92648,12326.51208,,0.041749749
,12413.34402,3566.566282,,0.789864684
24,14622.42352,,-0.890843342,0.525025536
26,21642.30604,8854.938784,1.385903321,0.007131767
,7844.629398,8780.022977,,0.889178218
18,14106.00539,13124.1648,,0.35535378
61,14085.22738,8674.422976,,0.522230726
25,21169.85168,,,0.203635446
,11927.93936,,,0.801287334
28,18518.47489,3905.545733,,0.443631181
68,23186.92295,4360.635885,,0.54781733
34,5298.073439,5161.04662,,0.797928718
25,23964.18305,,,0.330348169
52,8162.527164,2627.438663,,0.088397081
52,7731.280611,12966.65141,,0.657384723
50,3166.149796,3316.583461,,0.85319718
,8941.075541,17018.672,,0.662988607
59,13327.32247,3377.965747,,0.543554727
56,11029.60551,14316.27424,,0.289322144
