temperatura_corp,peso_kg,humedad_relativa_pct,calificacion_examen,ingreso_mensual,gastos_publicidad,color,ciudad,nivel_educativo,satisfaccion,dias_desde_registro
36.5,61.2,24,6.0,13016.0,17655.0,verde,Puebla,Primaria,Baja,1188
37.0,56.9,91,7.4,22629.0,3291.0,rojo,Monterrey,Secundaria,Alta,1756
35.7,72.7,21,6.1,30479.0,4348.0,verde,Puebla,Secundaria,Alta,1032
36.2,60.4,71,8.1,48358.0,10349.0,rojo,Puebla,Primaria,Alta,3255
36.5,81.0,92,7.6,54907.0,14240.0,verde,Monterrey,Secundaria,Media,2204
37.9,75.3,72,5.8,30671.0,18478.0,rojo,Puebla,Preparatoria,Baja,198
37.4,68.3,79,9.8,12864.0,9135.0,azul,Monterrey,Posgrado,Media,806
36.5,64.2,13,5.6,41370.0,11131.0,azul,Puebla,Universidad,Media,3435
37.1,71.1,2,9.4,37500.0,2447.0,verde,Monterrey,Universidad,Baja,2046
36.7,79.1,25,5.6,42028.0,2311.0,rojo,Monterrey,Posgrado,Baja,2332
36.0,82.3,22,6.7,21487.0,6569.0,rojo,Puebla,Preparatoria,Media,2153
36.1,57.7,68,7.7,11862.0,15563.0,verde,CDMX,Universidad,Alta,3309
36.0,94.8,13,7.5,50867.0,150000.0,azul,CDMX,Preparatoria,Baja,3377
36.5,64.3,99,9.4,300000.0,5965.0,rojo,Monterrey,Primaria,Alta,3357
36.7,57.8,54,5.4,46040.0,5085.0,azul,CDMX,Posgrado,Media,3521
35.5,90.6,76,7.8,48668.0,10610.0,verde,CDMX,Universidad,Media,1506
37.2,86.6,67,5.7,49373.0,10160.0,azul,Puebla,Secundaria,Baja,1998
36.6,83.2,16,9.2,45026.0,3526.0,verde,Monterrey,Universidad,Media,768
36.5,63.9,61,6.4,37464.0,10188.0,verde,Monterrey,Posgrado,Baja,1707
36.4,84.8,52,6.2,31590.0,4340.0,rojo,Monterrey,Posgrado,Alta,1109
37.6,70.7,61,5.8,34920.0,9234.0,rojo,Monterrey,Secundaria,Media,2084
36.5,55.3,68,6.8,51755.0,8139.0,rojo,Puebla,Preparatoria,Alta,1991
36.5,63.9,38,7.9,54578.0,3961.0,azul,CDMX,Posgrado,Baja,3525
37.0,56.9,36,8.0,53329.0,19380.0,verde,CDMX,Primaria,Alta,1589
36.6,82.8,100,6.7,50376.0,1650.0,verde,Puebla,Primaria,Media,931
37.1,86.1,45,8.3,22034.0,17679.0,verde,Monterrey,Preparatoria,Baja,1511
36.7,59.5,55,7.2,40922.0,10748.0,rojo,CDMX,Posgrado,Baja,1495
36.6,70.1,55,8.9,30097.0,14436.0,verde,Puebla,Universidad,Alta,1035
37.3,76.7,42,8.1,21324.0,19996.0,rojo,Puebla,Preparatoria,Baja,2541
36.6,58.0,9,6.6,9301.0,12467.0,azul,Monterrey,Universidad,Alta,546
