edad,ingreso_mensual,talla_cm,peso_kg,temperatura_c,frecuencia_cardiaca,ciudad,tipo_servicio,nivel,codigo_serie,referencia,sensor_defectuoso
39,,174.2870971,78.31737544,,76.55269766,Puebla,basico,alto,Z,REF-964053,
,16048,168.917333,73.53058582,36.33279624,,Puebla,estandar,medio,Y,REF-147729,
44,41790,161.1390889,94.09390455,36.11729776,96.18860302,,basico,alto,X,REF-867825,
,13803,160.2671458,71.68677645,36.25198271,89.60282443,Puebla,estandar,bajo,,REF-406327,
15,,,50.06966649,,64.70154877,Guadalajara,estandar,alto,X,REF-159441,
19,19478,172.8833502,63.75463871,36.77427303,78.41613824,CDMX,basico,medio,Y,,
,21017,159.3993735,82.7166842,36.63578983,81.27419373,,basico,medio,Y,REF-254548,
31,,171.9376102,80.53712749,36.20696503,54.28459637,,estandar,alto,Z,REF-258264,
,14488,156.8242002,53.0611845,36.86840355,,CDMX,basico,medio,,REF-981686,
,,166.1633827,64.85920473,36.17135333,103.2759019,Puebla,basico,bajo,Y,REF-298834,
46,13753,168.9868298,66.85590111,37.00563235,83.67923399,Monterrey,estandar,bajo,Z,REF-592446,
44,,190.0061713,69.88342568,37.60010345,93.68095698,Monterrey,basico,alto,Z,REF-280599,
36,7035,155.6041591,,,78.19497676,Monterrey,basico,bajo,X,REF-211590,
49,26387,181.2481311,66.20280449,36.80408785,,Puebla,basico,alto,Y,REF-100833,
41,13028,169.3485817,64.79945321,36.42749908,80.57525668,CDMX,,bajo,Y,,
25,35840,171.7005473,85.80146564,40.22177234,66.21008022,CDMX,basico,alto,Z,REF-526390,
,4279,169.0651312,86.32769835,36.38904822,64.43469775,Monterrey,basico,bajo,Y,REF-490599,
23,,172.0025414,72.95865359,36.21748667,91.19565469,Guadalajara,basico,,Y,REF-135062,
,6544,166.6168341,69.51144286,,92.46810811,CDMX,basico,bajo,,REF-414632,
34,10964,181.0864516,,37.20282598,64.10672421,CDMX,basico,bajo,,REF-345645,
33,20884,163.8917597,63.5679485,36.69550188,87.61598565,CDMX,basico,medio,Z,REF-614187,
27,16165,178.1901111,58.94435085,36.73289065,,CDMX,basico,medio,X,REF-995322,
50,,162.2006959,61.83690308,36.49184217,80.07770289,CDMX,basico,medio,Z,REF-722475,
33,16360,167.4577334,66.1126157,36.53949512,81.52262367,Toluca,premium,medio,Y,REF-926555,
30,20336,158.352337,58.7113668,,87.93220562,CDMX,basico,medio,,REF-273002,-3.110488065
31,9828,172.0952135,77.26883383,36.58868201,76.99261842,Toluca,basico,,,REF-293568,
41,27508,181.0061336,,36.78574288,,Toluca,premium,alto,Z,,
39,26788,167.3037944,,36.5313985,79.71295408,CDMX,,alto,X,REF-379001,
,22678,166.2280287,75.35180196,36.48024649,83.49021127,Monterrey,,alto,Y,REF-863892,
40,25136,157.9684473,71.92089887,36.10758004,66.0008489,,basico,alto,Y,REF-517333,
61,21504,165.9363661,79.7811216,35.90778783,101.9039081,Monterrey,basico,,Z,REF-280738,
30,,153.6648517,74.81885725,36.50845333,81.63789908,CDMX,basico,,Z,REF-859971,-0.447463638
,,159.7840981,54.64961008,36.61977384,84.5559691,CDMX,basico,medio,Y,REF-595412,
25,,170.0410744,57.32654982,,56.70177027,CDMX,,medio,,REF-822380,0.025262831
42,11453,179.8711188,75.41193006,36.5879338,,Monterrey,estandar,,Y,REF-507016,
49,9689,193.2828978,89.40293288,,90.85460426,Toluca,basico,bajo,X,REF-213617,-0.014334005
,,162.7207342,44.00137681,35.8453972,79.44269342,Monterrey,estandar,bajo,X,REF-712931,
25,10560,180.9177014,79.84017212,36.27970637,,Monterrey,basico,,,REF-212003,
105,17253,170.1937723,91.65470807,36.74254236,,Toluca,basico,medio,Z,REF-696961,
43,,166.6387712,72.85763773,,69.47460635,,estandar,medio,X,REF-475058,
44,18561,171.8933501,82.70283494,,92.93580383,CDMX,premium,medio,Y,REF-812375,
42,11371,168.5572484,,36.65545682,74.94597186,Puebla,basico,bajo,Y,REF-883084,
27,30892,168.9935615,73.32887321,36.95784253,78.45648023,Guadalajara,estandar,alto,X,REF-466634,
