carcaterística_1,carcaterística_2,carcaterística_3,carcaterística_4,carcaterística_5,clase
64.2360,65.2893,97.9867,49.2299,43.0385,b
2.1297,88.0786,29.7420,25.8126,7.3980,b
9.9426,20.4223,81.6570,66.0620,99.5820,b
16.7336,31.8350,34.2574,42.7954,34.2552,c
30.7130,75.9556,15.5092,61.0628,35.1523,c
46.6318,22.5859,9.1305,39.0338,71.4856,b
87.2471,96.8541,32.8985,48.7187,11.0818,a
5.0850,87.7878,99.3985,80.9285,65.0038,a
39.4128,35.5683,5.3358,84.2226,67.7842,b
64.3744,65.6972,54.7031,42.2623,86.4232,a
74.7966,40.4019,45.9988,79.1854,82.1184,a
8.5603,42.4652,18.0530,51.3597,15.2054,a
