island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,species
Dream,46.1,18.2,178,3250,Female,Chinstrap
Biscoe,46.3,15.8,215,5050,Male,Gentoo
Biscoe,48.5,15,219,4850,Female,Gentoo
Biscoe,49.6,16,225,5700,Male,Gentoo
Biscoe,43.3,14,208,4575,Female,Gentoo
Dream,51.4,19,201,3950,Male,Chinstrap
Biscoe,41.7,14.7,210,4700,Female,Gentoo
Biscoe,49.9,16.1,213,5400,Male,Gentoo
Torgersen,35.9,16.6,190,3050,Female,Adelie
Dream,37.5,18.9,179,2975,,Adelie
Biscoe,49.8,15.9,229,5950,Male,Gentoo
Biscoe,37.7,18.7,180,3600,Male,Adelie
Biscoe,48.4,14.4,203,4625,Female,Gentoo
Torgersen,38.9,17.8,181,3625,Female,Adelie
Dream,39.6,18.1,186,4450,Male,Adelie
Torgersen,39.2,19.6,195,4675,Male,Adelie
Dream,51.3,19.2,193,3650,Male,Chinstrap
Torgersen,41.4,18.5,202,3875,Male,Adelie
Dream,42.5,16.7,187,3350,Female,Chinstrap
Biscoe,45.6,20.3,191,4600,Male,Adelie
Dream,36.9,18.6,189,3500,Female,Adelie
