island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Dream,46.1,18.2,178,3250,Female
Biscoe,46.3,15.8,215,5050,Male
Biscoe,48.5,15,219,4850,Female
Biscoe,49.6,16,225,5700,Male
Biscoe,43.3,14,208,4575,Female
Dream,51.4,19,201,3950,Male
Biscoe,41.7,14.7,210,4700,Female
Biscoe,49.9,16.1,213,5400,Male
Torgersen,35.9,16.6,190,3050,Female
Dream,37.5,18.9,179,2975,
Biscoe,49.8,15.9,229,5950,Male
Biscoe,37.7,18.7,180,3600,Male
Biscoe,48.4,14.4,203,4625,Female
Torgersen,38.9,17.8,181,3625,Female
Dream,39.6,18.1,186,4450,Male
Torgersen,39.2,19.6,195,4675,Male
Dream,51.3,19.2,193,3650,Male
Torgersen,41.4,18.5,202,3875,Male
Dream,42.5,16.7,187,3350,Female
Biscoe,45.6,20.3,191,4600,Male
Dream,36.9,18.6,189,3500,Female
